cn8_code,material_group,material_name,stage,sovereignty_rationale,contamination_risk,notes
25041000,battery_metals,Natural graphite in powder or in flakes,ores,Natural flake graphite for battery anodes; China ~65% global supply,LOW,Clean code — powder/flake form only
25049000,battery_metals,Natural graphite other forms,ores,Lump and amorphous natural graphite; foundry and refractory use,MEDIUM,Less battery-relevant than 25041000; mixed end-use
26110000,defense_industrial_metals,Tungsten ores and concentrates,ores,Tungsten ore; China ~80% of global mine production; armour-piercing ammunition and cutting tools,LOW,Single CN8 code
81011000,defense_industrial_metals,Tungsten powders,refined_metals,Tungsten carbide feedstock; hardmetal tooling and munitions,LOW,
81019400,defense_industrial_metals,Unwrought tungsten including bars and rods obtained simply by sintering,refined_metals,Primary tungsten metal form; defense and industrial tooling,LOW,
28499030,defense_industrial_metals,Carbides of tungsten,chemical_precursors,WC for cemented carbide cutting tools and armour-piercing cores,LOW,
28259040,defense_industrial_metals,Tungsten oxides and hydroxides,chemical_precursors,Intermediate tungsten chemical; precursor to tungsten metal and WC,LOW,
26140000,defense_industrial_metals,Titanium ores and concentrates,ores,Ilmenite and rutile for titanium sponge; aerospace and defense structural metal,LOW,Single CN8 code post-2010 merger
81082000,defense_industrial_metals,Unwrought titanium; titanium powders,refined_metals,Titanium sponge and powder for aerospace airframes and jet engines,LOW,
26131000,defense_industrial_metals,Roasted molybdenum ores and concentrates,concentrates,Molybdenum concentrate for steel alloys and superalloys; Chile/China/US,LOW,
26139000,defense_industrial_metals,Molybdenum ores and concentrates unroasted,ores,Raw molybdenum ore; byproduct of copper mining,LOW,
81021000,defense_industrial_metals,Molybdenum powders,refined_metals,Mo powder for sintered products and superalloy feedstock,LOW,
81029400,defense_industrial_metals,Unwrought molybdenum including bars and rods obtained simply by sintering,refined_metals,Primary molybdenum metal form,LOW,
28257000,defense_industrial_metals,Molybdenum oxides and hydroxides,chemical_precursors,MoO3 technical oxide; steel alloy and catalyst feedstock,LOW,
26159000,defense_industrial_metals,Niobium tantalum or vanadium ores and concentrates,ores,Niobium ore (pyrochlore); Brazil ~90% global supply; HSLA steel and superalloys,MEDIUM,Bundles Nb/Ta/V ores — cannot separate at CN8 level
81129240,defense_industrial_metals,Unwrought niobium; niobium powders,refined_metals,Niobium metal for superconducting magnets and HSLA steel ferroniobium,LOW,
81129291,defense_industrial_metals,Unwrought vanadium; vanadium powders,refined_metals,Vanadium metal for HSLA steel and vanadium redox flow batteries,LOW,
28253000,defense_industrial_metals,Vanadium oxides and hydroxides,chemical_precursors,V2O5 for steel alloys and vanadium redox batteries; China/Russia/South Africa,LOW,
28499050,defense_industrial_metals,Carbides of aluminium chromium molybdenum vanadium tantalum and titanium,chemical_precursors,Mixed strategic carbides for cemented carbide and cermet tooling,MEDIUM,Bundles multiple carbide types — cannot separate
81124190,defense_industrial_metals,Unwrought rhenium and rhenium powders,refined_metals,Rhenium for single-crystal jet engine superalloy blades; extreme scarcity,LOW,Byproduct of Mo/Cu mining; Chile/US/Poland
81123100,defense_industrial_metals,Unwrought hafnium and hafnium waste scrap and powders,refined_metals,Hafnium for nuclear reactor control rods and superalloys; byproduct of zirconium,MEDIUM,Includes waste/scrap in same code
26151000,defense_industrial_metals,Zirconium ores and concentrates,ores,Zircon sand for ceramics and nuclear-grade zirconium; Australia/South Africa,LOW,
28046100,semiconductor_inputs,Silicon >=99.99% purity,refined_metals,Electronic-grade polysilicon for semiconductor wafers; dual-use export controlled,LOW,Clean high-purity code; solar PV polysilicon also here
28046900,semiconductor_inputs,Silicon <99.99% purity,refined_metals,Metallurgical-grade silicon; ferrosilicon feedstock and solar-grade Si,MEDIUM,Includes non-semiconductor MG-Si; mixed end-use
81129295,semiconductor_inputs,Unwrought germanium; germanium powders,refined_metals,Germanium for IR optics and fibre-optic cables; China ~60% global supply; export-controlled by China,LOW,
28256000,semiconductor_inputs,Germanium oxides and zirconium dioxide,chemical_precursors,GeO2 precursor for germanium metal and PET catalyst; includes ZrO2,MEDIUM,Bundles germanium oxide with zirconium dioxide — cannot separate
81129289,semiconductor_inputs,Unwrought gallium; gallium powders,refined_metals,Gallium for GaAs and GaN semiconductors; China ~95% global supply; export-controlled by China since 2023,LOW,Most supply-concentrated semiconductor input
81129281,semiconductor_inputs,Unwrought indium; indium powders,refined_metals,Indium for ITO displays and InP semiconductors; China dominant; byproduct of zinc smelting,LOW,
28045090,semiconductor_inputs,Tellurium,refined_metals,Tellurium for CdTe thin-film solar and thermoelectric devices; China dominant,LOW,May include boron — check 28045010 split
28042910,semiconductor_inputs,Helium,refined_metals,Helium for semiconductor fab cooling and MRI; US/Qatar/Algeria supply; non-substitutable in chip manufacturing,MEDIUM,Gas not solid material — but critical semiconductor input
25101000,fertilizer_chokepoints,Natural calcium phosphates unground,ores,Phosphate rock unground; Morocco/Western Sahara ~70% global reserves; fertilizer feedstock,LOW,
25102000,fertilizer_chokepoints,Natural calcium phosphates ground,ores,Ground phosphate rock; processed form for direct application or chemical processing,LOW,
31042010,fertilizer_chokepoints,Potassium chloride <=40% K2O,chemical_precursors,Low-grade muriate of potash (MOP); fertilizer use; Russia/Belarus/Canada dominate,LOW,
31042050,fertilizer_chokepoints,Potassium chloride >40% to <=62% K2O,chemical_precursors,Standard-grade MOP; dominant potash fertilizer product,LOW,
31042090,fertilizer_chokepoints,Potassium chloride >62% K2O,chemical_precursors,High-grade MOP; premium potash fertilizer,LOW,
31043000,fertilizer_chokepoints,Potassium sulphate,chemical_precursors,SOP fertilizer for chloride-sensitive crops; more limited supply than MOP,LOW,
31049000,fertilizer_chokepoints,Carnallite sylvite and other crude natural potassium salts and mixtures,ores,Crude natural potash salts; raw mineral form before processing,LOW,
